title,brand,categories,manufacturer,department
"LG 43"" 4K Mini-LED Google TV Series 10 (2023)",LG,Electronics > Televisions,LG,Electronics
Samsung 22 SE 64GB/16GB 5G Smartphone (2024),Samsung,Electronics > Mobile Phones,Samsung,Electronics
"Sony Wireless Over-Ear Headphones with ANC & Hi-Res (2025), 24h Battery",Sony,Electronics > Headphones,Sony,Electronics
Google Sport 47mm Smartwatch (2024) with GPS + Cellular & SpO2,Google,Electronics > Watches,Google,Electronics
"TCL 65"" 4K Mini-LED Google TV Series 8 (2025)",TCL,Electronics > Televisions,TCL,Electronics
OnePlus 16 Pro 128GB/8GB 5G Smartphone (2023),OnePlus,Electronics > Mobile Phones,OnePlus,Electronics
"Bose Wireless On-Ear Headphones with ANC & LDAC (2025), 30h Battery",Bose,Electronics > Headphones,Bose,Electronics
Huawei Gen 3 49mm Smartwatch (2023) with Heart Rate & SpO2,Huawei,Electronics > Watches,Huawei,Electronics
"Philips 43"" 8K Mini-LED Roku TV Series 10 (2023)",Philips,Electronics > Televisions,Philips,Electronics
Samsung 12 SE 128GB/8GB 5G Smartphone (2023),Samsung,Electronics > Mobile Phones,Samsung,Electronics
"JBL Wireless Over-Ear Headphones with Multipoint & LDAC (2025), 40h Battery",JBL,Electronics > Headphones,JBL,Electronics
Amazfit Classic 44mm Smartwatch (2025) with AMOLED & GPS + Cellular,Amazfit,Electronics > Watches,Amazfit,Electronics
"Hisense 85"" 4K LED Roku TV Series 6 (2025)",Hisense,Electronics > Televisions,Hisense,Electronics
Xiaomi 19 Plus 256GB/16GB 5G Smartphone (2023),Xiaomi,Electronics > Mobile Phones,Xiaomi,Electronics
"SteelSeries Wireless On-Ear Headphones with ANC & Hi-Res (2024), 20h Battery",SteelSeries,Electronics > Headphones,SteelSeries,Electronics
Fossil Active 40mm Smartwatch (2025) with GPS + Cellular & SpO2,Fossil,Electronics > Watches,Fossil,Electronics
"Panasonic 50"" 8K OLED Fire TV Series 6 (2024)",Panasonic,Electronics > Televisions,Panasonic,Electronics
Vivo 14 Pro 256GB/16GB 5G Smartphone (2024),Vivo,Electronics > Mobile Phones,Vivo,Electronics
"Bowers & Wilkins Wireless On-Ear Headphones with LDAC & Hi-Res (2025), 24h Battery",Bowers & Wilkins,Electronics > Headphones,Bowers & Wilkins,Electronics
Suunto Sport 40mm Smartwatch (2025) with GPS & GPS + Cellular,Suunto,Electronics > Watches,Suunto,Electronics
"Sony 85"" 4K OLED Tizen Series 9 (2024)",Sony,Electronics > Televisions,Sony,Electronics
Motorola 20 Ultra 64GB/4GB 5G Smartphone (2025),Motorola,Electronics > Mobile Phones,Motorola,Electronics
"Skullcandy Wireless On-Ear Headphones with Spatial Audio & LDAC (2024), 20h Battery",Skullcandy,Electronics > Headphones,Skullcandy,Electronics
Fossil Classic 45mm Smartwatch (2025) with GPS & AMOLED,Fossil,Electronics > Watches,Fossil,Electronics
"Sony 75"" 8K LED Fire TV Series 9 (2025)",Sony,Electronics > Televisions,Sony,Electronics
Oppo 14 Ultra 128GB/16GB 5G Smartphone (2025),Oppo,Electronics > Mobile Phones,Oppo,Electronics
"Sony Wireless In-Ear Headphones with LDAC & Multipoint (2023), 20h Battery",Sony,Electronics > Headphones,Sony,Electronics
Amazfit Gen 9 44mm Smartwatch (2023) with GPS + Cellular & GPS,Amazfit,Electronics > Watches,Amazfit,Electronics
"Sharp 43"" 8K LED Smart TV Series 11 (2025)",Sharp,Electronics > Televisions,Sharp,Electronics
Xiaomi 14 SE 512GB/16GB 5G Smartphone (2023),Xiaomi,Electronics > Mobile Phones,Xiaomi,Electronics
"Apple Wireless In-Ear Headphones with Low-Latency & Multipoint (2025), 24h Battery",Apple,Electronics > Headphones,Apple,Electronics
Fitbit Trail 44mm Smartwatch (2024) with Heart Rate & AMOLED,Fitbit,Electronics > Watches,Fitbit,Electronics
"Xiaomi 65"" 4K LED Google TV Series 7 (2023)",Xiaomi,Electronics > Televisions,Xiaomi,Electronics
Apple 21 Max 128GB/16GB 5G Smartphone (2023),Apple,Electronics > Mobile Phones,Apple,Electronics
"Sony Wireless Over-Ear Headphones with Spatial Audio & ANC (2023), 24h Battery",Sony,Electronics > Headphones,Sony,Electronics
Apple Gen 5 40mm Smartwatch (2024) with SpO2 & GPS + Cellular,Apple,Electronics > Watches,Apple,Electronics
"Vizio 50"" 8K QLED Google TV Series 11 (2024)",Vizio,Electronics > Televisions,Vizio,Electronics
Google 15 Lite 64GB/12GB 5G Smartphone (2024),Google,Electronics > Mobile Phones,Google,Electronics
"Audio-Technica Wireless On-Ear Headphones with Multipoint & ANC (2025), 60h Battery",Audio-Technica,Electronics > Headphones,Audio-Technica,Electronics
Samsung Sport 45mm Smartwatch (2023) with ECG & AMOLED,Samsung,Electronics > Watches,Samsung,Electronics
"TCL 50"" 8K QLED Google TV Series 6 (2024)",TCL,Electronics > Televisions,TCL,Electronics
Vivo 19 Pro 64GB/12GB 5G Smartphone (2025),Vivo,Electronics > Mobile Phones,Vivo,Electronics
"Bose Wireless Over-Ear Headphones with Spatial Audio & Low-Latency (2023), 20h Battery",Bose,Electronics > Headphones,Bose,Electronics
Fitbit Classic 45mm Smartwatch (2023) with Heart Rate & ECG,Fitbit,Electronics > Watches,Fitbit,Electronics
"Philips 43"" 8K QLED Smart TV Series 7 (2024)",Philips,Electronics > Televisions,Philips,Electronics
Infinix 24 Plus 256GB/12GB 5G Smartphone (2025),Infinix,Electronics > Mobile Phones,Infinix,Electronics
"HyperX Wireless In-Ear Headphones with Spatial Audio & Multipoint (2023), 24h Battery",HyperX,Electronics > Headphones,HyperX,Electronics
Huawei Classic 40mm Smartwatch (2023) with SpO2 & ECG,Huawei,Electronics > Watches,Huawei,Electronics
"Panasonic 43"" 8K LED Roku TV Series 6 (2025)",Panasonic,Electronics > Televisions,Panasonic,Electronics
Apple 20 Lite 128GB/4GB 5G Smartphone (2025),Apple,Electronics > Mobile Phones,Apple,Electronics
"Bose Wireless In-Ear Headphones with Hi-Res & Multipoint (2025), 20h Battery",Bose,Electronics > Headphones,Bose,Electronics
Fitbit Adventure 47mm Smartwatch (2023) with GPS & SpO2,Fitbit,Electronics > Watches,Fitbit,Electronics
"Philips 85"" 8K Mini-LED Google TV Series 10 (2025)",Philips,Electronics > Televisions,Philips,Electronics
